Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
2013,268099,ALMOND HULLS,7,Butte,,,44300.0,109.93,tons,4870000
2013,268099,ALMOND HULLS,11,Colusa,,,68600.0,99.96,tons,6857000
2013,268099,ALMOND HULLS,19,Fresno,,,432000.0,139.0,tons,60048000
2013,268099,ALMOND HULLS,21,Glenn,,,38500.0,99.92,tons,3847000
2013,268099,ALMOND HULLS,29,Kern,,,514000.0,112.52,tons,57836000
2013,268099,ALMOND HULLS,31,Kings,,,42300.0,138.87,tons,5874000
2013,268099,ALMOND HULLS,39,Madera,,,208000.0,129.76,tons,26991000
2013,268099,ALMOND HULLS,47,Merced,,,211000.0,136.71,tons,28846000
2013,268099,ALMOND HULLS,77,San Joaquin,,,160000.0,124.61,tons,19938000
2013,268099,ALMOND HULLS,99,Stanislaus,,,404000.0,140.0,tons,56560000
2013,268099,ALMOND HULLS,101,Sutter,,,4290.0,100.0,tons,429000
2013,268099,ALMOND HULLS,107,Tulare,,,74700.0,134.99,tons,10084000
2013,268099,ALMOND HULLS,113,Yolo,,,21300.0,99.91,tons,2128000
2013,268099,ALMOND HULLS,115,Yuba,,,860.0,100.0,tons,86000
2013,268099,ALMOND HULLS,991,Sum of Others,,,137000.0,27.06,tons,3707000
2013,268099,ALMOND HULLS,999,State Totals,,,2360850.0,122.03,,288101000
2013,261999,ALMONDS ALL,7,Butte,37500.0,0.93,34900.0,5617.74,tons,196059000
2013,261999,ALMONDS ALL,11,Colusa,46300.0,1.11,51400.0,5545.49,tons,285038000
2013,261999,ALMONDS ALL,19,Fresno,162220.0,1.23,200000.0,5249.0,tons,1049800000
2013,261999,ALMONDS ALL,21,Glenn,38300.0,0.8,30800.0,5495.23,tons,169253000
2013,261999,ALMONDS ALL,29,Kern,147000.0,1.14,168000.0,5492.1,tons,922672000
2013,261999,ALMONDS ALL,31,Kings,17400.0,1.21,21100.0,5521.9,tons,116512000
2013,261999,ALMONDS ALL,39,Madera,99000.0,1.07,105930.0,5631.0,tons,596492000
2013,261999,ALMONDS ALL,47,Merced,98900.0,1.07,106000.0,6346.87,tons,672768000
2013,261999,ALMONDS ALL,77,San Joaquin,56800.0,1.25,70900.0,6600.0,tons,467940000
2013,261999,ALMONDS ALL,95,Solano,3330.0,0.95,3160.0,5415.51,tons,17113000
2013,261999,ALMONDS ALL,99,Stanislaus,160000.0,1.21,194000.0,5800.0,tons,1125200000
2013,261999,ALMONDS ALL,101,Sutter,6360.0,0.54,3430.0,5072.01,tons,17397000
2013,261999,ALMONDS ALL,103,Tehama,10300.0,0.77,7940.0,5300.63,tons,42087000
2013,261999,ALMONDS ALL,107,Tulare,38100.0,1.07,40800.0,6040.0,tons,246432000
2013,261999,ALMONDS ALL,113,Yolo,17700.0,0.93,16500.0,4203.7,tons,69361000
2013,261999,ALMONDS ALL,115,Yuba,860.0,0.8,688.0,4700.58,tons,3234000
2013,261999,ALMONDS ALL,991,Sum of Others,90.0,0.56,50.0,8052.0,tons,402600
2013,261999,ALMONDS ALL,999,State Totals,940160.0,1.12,1055598.0,5681.86,,5997760600
2013,333999,ANISE (FENNEL),53,Monterey,750.0,17.47,13100.0,697.79,tons,9141000
2013,333999,ANISE (FENNEL),991,Sum of Others,84.0,11.36,954.0,1007.65,tons,961300
2013,333999,ANISE (FENNEL),999,State Totals,834.0,16.85,14054.0,718.82,,10102300
2013,483999,APIARY PRODUCTS BEES PACKAGED,11,Colusa,,,3800.0,62.11,lbs,236000
2013,483999,APIARY PRODUCTS BEES PACKAGED,21,Glenn,,,190000.0,15.58,lbs,2960000
2013,483999,APIARY PRODUCTS BEES PACKAGED,47,Merced,,,68785.0,14.97,lbs,1030000
2013,483999,APIARY PRODUCTS BEES PACKAGED,999,State Totals,,,262585.0,16.09,,4226000
2013,485999,APIARY PRODUCTS BEES QUEEN,11,Colusa,,,33000.0,19.55,each,645000
2013,485999,APIARY PRODUCTS BEES QUEEN,21,Glenn,,,287000.0,18.41,each,5283000
2013,485999,APIARY PRODUCTS BEES QUEEN,47,Merced,,,19957.0,15.98,each,319000
