Year,Commodity Code,Crop Name,County Code,County,Harvested Acres,Yield,Production,Price P/U,Unit,Value
2016,268099,ALMOND HULLS,7,Butte,,,40000.0,90.0,Tons,3600000
2016,268099,ALMOND HULLS,11,Colusa,,,57100.0,45.01,Tons,2570000
2016,268099,ALMOND HULLS,19,Fresno,,,407000.0,64.0,Tons,26048000
2016,268099,ALMOND HULLS,21,Glenn,,,54200.0,74.94,Tons,4062000
2016,268099,ALMOND HULLS,29,Kern,,,282000.0,72.71,Tons,20503000
2016,268099,ALMOND HULLS,31,Kings,,,49500.0,73.64,Tons,3645000
2016,268099,ALMOND HULLS,39,Madera,,,250000.0,79.97,Tons,19992000
2016,268099,ALMOND HULLS,47,Merced,,,231000.0,56.85,Tons,13132000
2016,268099,ALMOND HULLS,77,San Joaquin,,,145000.0,68.15,Tons,9882000
2016,268099,ALMOND HULLS,99,Stanislaus,,,378000.0,60.0,Tons,22680000
2016,268099,ALMOND HULLS,101,Sutter,,,7090.0,100.0,Tons,709000
2016,268099,ALMOND HULLS,107,Tulare,,,133000.0,73.0,Tons,9709000
2016,268099,ALMOND HULLS,113,Yolo,,,30600.0,100.0,Tons,3060000
2016,268099,ALMOND HULLS,115,Yuba,,,802.0,69.83,Tons,56000
2016,268099,ALMOND HULLS,991,Sum of Others,,,162610.0,10.85,Tons,1765000
2016,268099,ALMOND HULLS,999,State Total,,,2227902.0,63.47,,141413000
2016,261999,ALMONDS ALL,7,Butte,39500.0,0.85,33600.0,5592.32,Tons,187902000
2016,261999,ALMONDS ALL,11,Colusa,57100.0,1.03,58800.0,5122.84,Tons,301223000
2016,261999,ALMONDS ALL,19,Fresno,215000.0,1.17,252000.0,4633.0,Tons,1167516000
2016,261999,ALMONDS ALL,21,Glenn,48600.0,0.89,43200.0,5191.53,Tons,224274000
2016,261999,ALMONDS ALL,29,Kern,217000.0,1.19,259000.0,4924.79,Tons,1275520000
2016,261999,ALMONDS ALL,31,Kings,23100.0,1.07,24800.0,4810.28,Tons,119295000
2016,261999,ALMONDS ALL,39,Madera,125000.0,1.02,128000.0,4480.43,Tons,573495000
2016,261999,ALMONDS ALL,47,Merced,104000.0,1.13,118000.0,4903.23,Tons,578581000
2016,261999,ALMONDS ALL,77,San Joaquin,71100.0,1.02,72700.0,4798.06,Tons,348819000
2016,261999,ALMONDS ALL,95,Solano,9000.0,0.89,8020.0,4478.43,Tons,35917000
2016,261999,ALMONDS ALL,99,Stanislaus,182000.0,1.04,189000.0,4800.0,Tons,907200000
2016,261999,ALMONDS ALL,101,Sutter,9450.0,0.6,5670.0,5544.09,Tons,31435000
2016,261999,ALMONDS ALL,103,Tehama,12200.0,0.79,9610.0,4834.44,Tons,46459000
2016,261999,ALMONDS ALL,107,Tulare,60900.0,1.09,66400.0,4400.0,Tons,292160000
2016,261999,ALMONDS ALL,113,Yolo,25500.0,0.87,22200.0,4470.0,Tons,99234000
2016,261999,ALMONDS ALL,115,Yuba,1280.0,0.5,642.0,6995.33,Tons,4491000
2016,261999,ALMONDS ALL,991,Sum of Others,1363.0,0.52,707.0,8427.19,Tons,5958020
2016,261999,ALMONDS ALL,999,State Total,1202093.0,1.08,1292349.0,4797.06,,6199479020
2016,333999,ANISE (FENNEL),53,Monterey,789.0,16.35,12900.0,745.04,Tons,9611000
2016,333999,ANISE (FENNEL),991,Sum of Others,342.0,11.87,4060.0,547.54,Tons,2223000
2016,333999,ANISE (FENNEL),999,State Total,1131.0,15.0,16960.0,697.76,,11834000
2016,483999,APIARY PRODUCTS BEES PACKAGED,11,Colusa,,,2500.0,80.0,Lbs,200000
2016,483999,APIARY PRODUCTS BEES PACKAGED,21,Glenn,,,150000.0,22.63,Lbs,3394000
2016,483999,APIARY PRODUCTS BEES PACKAGED,47,Merced,,,55500.0,23.91,Lbs,1327000
2016,483999,APIARY PRODUCTS BEES PACKAGED,999,State Total,,,208000.0,23.66,,4921000
2016,485999,APIARY PRODUCTS BEES QUEEN,11,Colusa,,,21000.0,25.0,Each,525000
2016,485999,APIARY PRODUCTS BEES QUEEN,21,Glenn,,,354000.0,21.58,Each,7641000
2016,485999,APIARY PRODUCTS BEES QUEEN,47,Merced,,,37700.0,13.4,Each,505000
2016,485999,APIARY PRODUCTS BEES QUEEN,89,Shasta,,,171000.0,22.4,Each,3831000
2016,485999,APIARY PRODUCTS BEES QUEEN,999,State Total,,,583700.0,21.42,,12502000
2016,489999,APIARY PRODUCTS BEES UNSPECIFIED,7,Butte,,,,,,918000
2016,489999,APIARY PRODUCTS BEES UNSPECIFIED,9,Calaveras,,,,,,235000
2016,489999,APIARY PRODUCTS BEES UNSPECIFIED,13,Contra Costa,,,,,,414000
2016,489999,APIARY PRODUCTS BEES UNSPECIFIED,27,Inyo,,,,,,5600
2016,489999,APIARY PRODUCTS BEES UNSPECIFIED,37,Los Angeles,,,,,,169000
2016,489999,APIARY PRODUCTS BEES UNSPECIFIED,57,Nevada,,,,,,268000
2016,489999,APIARY PRODUCTS BEES UNSPECIFIED,61,Placer,,,,,,62000
2016,489999,APIARY PRODUCTS BEES UNSPECIFIED,67,Sacramento,,,,,,116000
2016,489999,APIARY PRODUCTS BEES UNSPECIFIED,77,San Joaquin,,,,,,486000
2016,489999,APIARY PRODUCTS BEES UNSPECIFIED,89,Shasta,,,,,,1472000
2016,489999,APIARY PRODUCTS BEES UNSPECIFIED,95,Solano,,,,,,687000
2016,489999,APIARY PRODUCTS BEES UNSPECIFIED,97,Sonoma,,,,,,263000
2016,489999,APIARY PRODUCTS BEES UNSPECIFIED,101,Sutter,,,,,,1190000
2016,489999,APIARY PRODUCTS BEES UNSPECIFIED,103,Tehama,,,,,,17537000
2016,489999,APIARY PRODUCTS BEES UNSPECIFIED,109,Tuolumne,,,,,,101000
2016,489999,APIARY PRODUCTS BEES UNSPECIFIED,113,Yolo,,,,,,9115000
2016,489999,APIARY PRODUCTS BEES UNSPECIFIED,991,Sum of Others,,,,,,3680
2016,489999,APIARY PRODUCTS BEES UNSPECIFIED,999,State Total,,,,,,33042280
2016,482999,APIARY PRODUCTS BEESWAX,19,Fresno,,,101000.0,3.88,Lbs,392000
2016,482999,APIARY PRODUCTS BEESWAX,25,Imperial,,,23900.0,3.81,Lbs,91000
2016,482999,APIARY PRODUCTS BEESWAX,29,Kern,,,420000.0,3.17,Lbs,1332000
2016,482999,APIARY PRODUCTS BEESWAX,31,Kings,,,2740.0,2.35,Lbs,6450
2016,482999,APIARY PRODUCTS BEESWAX,37,Los Angeles,,,12400.0,4.74,Lbs,58800
2016,482999,APIARY PRODUCTS BEESWAX,39,Madera,,,44100.0,3.4,Lbs,150000
2016,482999,APIARY PRODUCTS BEESWAX,47,Merced,,,24700.0,3.81,Lbs,94000
2016,482999,APIARY PRODUCTS BEESWAX,53,Monterey,,,320.0,4.5,Lbs,1440
2016,482999,APIARY PRODUCTS BEESWAX,63,Plumas,,,19.0,4.26,Lbs,81
2016,482999,APIARY PRODUCTS BEESWAX,65,Riverside,,,14000.0,2.7,Lbs,37800
2016,482999,APIARY PRODUCTS BEESWAX,73,San Diego,,,,,Lbs,27000
2016,482999,APIARY PRODUCTS BEESWAX,81,San Mateo,,,879.0,5.12,Lbs,4500
2016,482999,APIARY PRODUCTS BEESWAX,99,Stanislaus,,,559000.0,3.37,Lbs,1885000
2016,482999,APIARY PRODUCTS BEESWAX,107,Tulare,,,100000.0,3.38,Lbs,338000
2016,482999,APIARY PRODUCTS BEESWAX,111,Ventura,,,17200.0,3.95,Lbs,68000
2016,482999,APIARY PRODUCTS BEESWAX,991,Sum of Others,,,1980.0,8.65,Lbs,17120
2016,482999,APIARY PRODUCTS BEESWAX,999,State Total,,,1322238.0,3.39,,4503191
2016,481999,APIARY PRODUCTS HONEY,11,Colusa,,,36000.0,3.0,Lbs,108000
2016,481999,APIARY PRODUCTS HONEY,19,Fresno,,,2822000.0,2.08,Lbs,5870000
2016,481999,APIARY PRODUCTS HONEY,25,Imperial,,,279000.0,1.63,Lbs,456000
2016,481999,APIARY PRODUCTS HONEY,27,Inyo,,,156000.0,2.08,Lbs,325000
2016,481999,APIARY PRODUCTS HONEY,29,Kern,,,3362000.0,2.06,Lbs,6926000
2016,481999,APIARY PRODUCTS HONEY,31,Kings,,,252000.0,2.12,Lbs,534000
2016,481999,APIARY PRODUCTS HONEY,37,Los Angeles,,,322000.0,4.12,Lbs,1328000
2016,481999,APIARY PRODUCTS HONEY,39,Madera,,,555000.0,1.85,Lbs,1027000
2016,481999,APIARY PRODUCTS HONEY,43,Mariposa,,,29700.0,2.05,Lbs,61000
2016,481999,APIARY PRODUCTS HONEY,47,Merced,,,1234000.0,1.81,Lbs,2234000
2016,481999,APIARY PRODUCTS HONEY,53,Monterey,,,6500.0,2.11,Lbs,13700
2016,481999,APIARY PRODUCTS HONEY,57,Nevada,,,22100.0,4.57,Lbs,101000
2016,481999,APIARY PRODUCTS HONEY,63,Plumas,,,1730.0,9.48,Lbs,16400
2016,481999,APIARY PRODUCTS HONEY,65,Riverside,,,735000.0,1.9,Lbs,1397000
2016,481999,APIARY PRODUCTS HONEY,73,San Diego,,,,,Lbs,660000
2016,481999,APIARY PRODUCTS HONEY,75,San Francisco,,,,,Lbs,57500
2016,481999,APIARY PRODUCTS HONEY,77,San Joaquin,,,220000.0,2.75,Lbs,604000
2016,481999,APIARY PRODUCTS HONEY,81,San Mateo,,,28000.0,11.29,Lbs,316000
2016,481999,APIARY PRODUCTS HONEY,89,Shasta,,,77000.0,3.1,Lbs,239000
2016,481999,APIARY PRODUCTS HONEY,91,Sierra,,,15.0,9.47,Lbs,142
2016,481999,APIARY PRODUCTS HONEY,99,Stanislaus,,,4798000.0,1.85,Lbs,8877000
2016,481999,APIARY PRODUCTS HONEY,105,Trinity,,,1960.0,6.28,Lbs,12300
2016,481999,APIARY PRODUCTS HONEY,107,Tulare,,,10568000.0,2.23,Lbs,23596000
2016,481999,APIARY PRODUCTS HONEY,111,Ventura,,,257000.0,4.75,Lbs,1222000
2016,481999,APIARY PRODUCTS HONEY,991,Sum of Others,,,244000.0,2.17,Lbs,529600
2016,481999,APIARY PRODUCTS HONEY,999,State Total,,,26007005.0,2.15,,56510642
2016,486999,APIARY PRODUCTS POLLINATION FEES,7,Butte,,,46400.0,176.47,Col,8188000
2016,486999,APIARY PRODUCTS POLLINATION FEES,11,Colusa,,,107000.0,155.0,Col,16585000
2016,486999,APIARY PRODUCTS POLLINATION FEES,17,El Dorado,,,3800.0,205.26,Col,780000
2016,486999,APIARY PRODUCTS POLLINATION FEES,19,Fresno,,,,,Col,84116000
2016,486999,APIARY PRODUCTS POLLINATION FEES,21,Glenn,,,,,Col,15965000
2016,486999,APIARY PRODUCTS POLLINATION FEES,25,Imperial,,,62600.0,60.86,Col,3810000
2016,486999,APIARY PRODUCTS POLLINATION FEES,29,Kern,,,462000.0,174.29,Col,80520000
2016,486999,APIARY PRODUCTS POLLINATION FEES,31,Kings,,,60500.0,163.92,Col,9917000
2016,486999,APIARY PRODUCTS POLLINATION FEES,39,Madera,,,254000.0,189.0,Col,48006000
2016,486999,APIARY PRODUCTS POLLINATION FEES,47,Merced,,,202000.0,173.52,Col,35051000
2016,486999,APIARY PRODUCTS POLLINATION FEES,53,Monterey,,,4230.0,60.05,Col,254000
