Year,Commodity Code,Crop Name,County Code,County,Harvested Acres,Yield,Production,Price P/U,Unit,Value
2015,268099,ALMOND HULLS,7,Butte,,,40000.0,120.0,Tons,4800000
2015,268099,ALMOND HULLS,11,Colusa,,,54400.0,85.0,Tons,4624000
2015,268099,ALMOND HULLS,19,Fresno,,,348000.0,97.5,Tons,33930000
2015,268099,ALMOND HULLS,21,Glenn,,,49100.0,80.06,Tons,3931000
2015,268099,ALMOND HULLS,29,Kern,,,300000.0,113.11,Tons,33934000
2015,268099,ALMOND HULLS,31,Kings,,,44200.0,126.0,Tons,5569000
2015,268099,ALMOND HULLS,39,Madera,,,214000.0,119.07,Tons,25481000
2015,268099,ALMOND HULLS,47,Merced,,,186000.0,101.15,Tons,18814000
2015,268099,ALMOND HULLS,77,San Joaquin,,,125000.0,146.61,Tons,18326000
2015,268099,ALMOND HULLS,99,Stanislaus,,,344000.0,130.0,Tons,44720000
2015,268099,ALMOND HULLS,101,Sutter,,,4020.0,100.0,Tons,402000
2015,268099,ALMOND HULLS,107,Tulare,,,86100.0,130.0,Tons,11193000
2015,268099,ALMOND HULLS,113,Yolo,,,24200.0,130.17,Tons,3150000
2015,268099,ALMOND HULLS,115,Yuba,,,513.0,99.42,Tons,51000
2015,268099,ALMOND HULLS,991,Sum of Others,,,15150.0,86.34,Tons,1308000
2015,268099,ALMOND HULLS,999,State Total,,,1834683.0,114.59,,210233000
2015,261999,ALMONDS ALL,7,Butte,39600.0,0.85,33700.0,5996.8,Tons,202092000
2015,261999,ALMONDS ALL,11,Colusa,54400.0,1.07,58200.0,7191.86,Tons,418566000
2015,261999,ALMONDS ALL,19,Fresno,186000.0,1.0,186000.0,6300.0,Tons,1171800000
2015,261999,ALMONDS ALL,21,Glenn,44200.0,0.89,39300.0,5469.08,Tons,214935000
2015,261999,ALMONDS ALL,29,Kern,210000.0,0.94,197000.0,7379.97,Tons,1453855000
2015,261999,ALMONDS ALL,31,Kings,21500.0,1.03,22100.0,7569.64,Tons,167289000
2015,261999,ALMONDS ALL,39,Madera,115000.0,0.95,109000.0,6992.0,Tons,762128000
2015,261999,ALMONDS ALL,47,Merced,102000.0,0.85,86200.0,6404.2,Tons,552042000
2015,261999,ALMONDS ALL,77,San Joaquin,65300.0,0.96,62400.0,6946.86,Tons,433484000
2015,261999,ALMONDS ALL,95,Solano,6880.0,0.65,4470.0,5280.31,Tons,23603000
2015,261999,ALMONDS ALL,99,Stanislaus,178000.0,0.97,172000.0,7260.0,Tons,1248720000
2015,261999,ALMONDS ALL,101,Sutter,7150.0,0.45,3220.0,7083.54,Tons,22809000
2015,261999,ALMONDS ALL,103,Tehama,10900.0,0.71,7720.0,5966.97,Tons,46065000
2015,261999,ALMONDS ALL,107,Tulare,45300.0,0.95,43000.0,7250.0,Tons,311750000
2015,261999,ALMONDS ALL,113,Yolo,21100.0,0.96,20200.0,4420.79,Tons,89300000
2015,261999,ALMONDS ALL,115,Yuba,912.0,0.45,410.0,7107.32,Tons,2914000
2015,261999,ALMONDS ALL,991,Sum of Others,1284.0,0.54,693.0,12997.4,Tons,9007200
2015,261999,ALMONDS ALL,999,State Total,1109526.0,0.94,1045613.0,6819.31,,7130359200
2015,333999,ANISE (FENNEL),53,Monterey,769.0,17.04,13100.0,810.0,Tons,10611000
2015,333999,ANISE (FENNEL),991,Sum of Others,148.0,25.86,3827.0,426.81,Tons,1633400
2015,333999,ANISE (FENNEL),999,State Total,917.0,18.46,16927.0,723.37,,12244400
2015,483999,APIARY PRODUCTS BEES PACKAGED,11,Colusa,,,3000.0,80.0,Lbs,240000
2015,483999,APIARY PRODUCTS BEES PACKAGED,21,Glenn,,,108000.0,20.81,Lbs,2247000
2015,483999,APIARY PRODUCTS BEES PACKAGED,47,Merced,,,69700.0,18.31,Lbs,1276000
2015,483999,APIARY PRODUCTS BEES PACKAGED,991,Sum of Others,,,6260.0,55.75,Lbs,349000
2015,483999,APIARY PRODUCTS BEES PACKAGED,999,State Total,,,186960.0,21.99,,4112000
2015,485999,APIARY PRODUCTS BEES QUEEN,11,Colusa,,,36000.0,20.0,Each,720000
2015,485999,APIARY PRODUCTS BEES QUEEN,21,Glenn,,,117000.0,23.02,Each,2693000
2015,485999,APIARY PRODUCTS BEES QUEEN,47,Merced,,,36500.0,16.38,Each,598000
2015,485999,APIARY PRODUCTS BEES QUEEN,89,Shasta,,,161000.0,20.83,Each,3354000
2015,485999,APIARY PRODUCTS BEES QUEEN,99,Stanislaus,,,,,Each,99900
2015,485999,APIARY PRODUCTS BEES QUEEN,991,Sum of Others,,,38400.0,20.31,Each,780000
2015,485999,APIARY PRODUCTS BEES QUEEN,999,State Total,,,388900.0,20.94,,8244900
2015,489999,APIARY PRODUCTS BEES UNSPECIFIED,7,Butte,,,,,,902000
2015,489999,APIARY PRODUCTS BEES UNSPECIFIED,9,Calaveras,,,,,,210000
2015,489999,APIARY PRODUCTS BEES UNSPECIFIED,13,Contra Costa,,,,,,454000
2015,489999,APIARY PRODUCTS BEES UNSPECIFIED,21,Glenn,,,,,,62000
2015,489999,APIARY PRODUCTS BEES UNSPECIFIED,27,Inyo,,,,,,5400
2015,489999,APIARY PRODUCTS BEES UNSPECIFIED,37,Los Angeles,,,,,,169000
2015,489999,APIARY PRODUCTS BEES UNSPECIFIED,57,Nevada,,,,,,796000
2015,489999,APIARY PRODUCTS BEES UNSPECIFIED,61,Placer,,,,,,113000
2015,489999,APIARY PRODUCTS BEES UNSPECIFIED,67,Sacramento,,,,,,234000
