Year,Commodity Code,Crop Name,County Code,County,Harvested Acres,Yield,Production,Price Per Unit,Unit,Value
1980,261999,ALMONDS ALL,7,Butte,31468.0,0.42,13217.0,3000.0,TONS ,39651000.0
1981,261999,ALMONDS ALL,7,Butte,30200.0,0.85,25670.0,1500.0,TONS ,38505000.0
1982,261999,ALMONDS ALL,7,Butte,30633.0,0.52,15929.0,1770.0,TONS ,28194000.0
1983,261999,ALMONDS ALL,7,Butte,31523.0,0.27,8510.0,2300.0,TONS ,19573000.0
1984,261999,ALMONDS ALL,7,Butte,34587.0,0.81,28016.0,1700.0,TONS ,47627000.0
1985,261999,ALMONDS ALL,7,Butte,37676.0,0.6,22479.0,1300.0,TONS ,29223000.0
1986,261999,ALMONDS ALL,7,Butte,38543.0,0.33,12719.0,4000.0,  ,50876000.0
1987,261999,ALMONDS ALL,7,Butte,38484.0,0.76,29248.0,2000.0,TONS ,58496000.0
1988,261999,ALMONDS ALL,7,Butte,38524.0,0.79,30434.0,2000.0,TON ,60868000.0
1989,261999,ALMONDS ALL,7,Butte,38222.0,0.45,17200.0,2200.0,TONS ,37840000.0
1990,261999,ALMONDS ALL,7,Butte,37870.0,0.89,33700.0,1825.0,TONS ,61503000.0
1991,261999,ALMONDS ALL,7,Butte,35019.0,0.76,26614.0,2201.0,TONS ,58578000.0
1992,261999,ALMONDS ALL,7,Butte,35095.0,0.7,24599.0,2440.0,TONS ,60022000.0
1993,261999,ALMONDS ALL,7,Butte,36061.0,0.63,22718.0,3460.0,TONS ,78606000.0
1994,261999,ALMONDS ALL,7,Butte,35970.0,0.87,31294.0,2400.0,TONS ,75106000.0
1995,261999,ALMONDS ALL,7,Butte,34183.0,0.41,14015.0,5000.0,TONS ,70075000.0
1996,261999,ALMONDS ALL,7,Butte,31159.0,0.63,19630.0,4270.0,TONS ,83820000.0
1997,261999,ALMONDS ALL,7,Butte,31814.0,0.88,27996.0,3100.0,TONS ,86788000.0
1998,261999,ALMONDS ALL,7,Butte,31117.0,0.47,14625.0,3009.0,TONS ,44007000.0
1999,261999,ALMONDS ALL,7,Butte,37207.0,0.61,22696.0,1650.0,TON ,37449000.0
2000,261999,ALMONDS ALL,7,Butte,36095.0,0.62,22375.0,2125.0,TON ,47547000.0
2001,261999,ALMONDS ALL,7,Butte,36865.0,0.68,25068.0,1700.0,TONS ,42616000.0
2002,261999,ALMONDS ALL,7,Butte,36605.0,0.86,31480.0,2089.0,TON ,65762000.0
2003,261999,ALMONDS ALL,7,Butte,39168.0,0.8,31334.0,2778.0,TON ,87046000.0
2004,261999,ALMONDS ALL,7,Butte,40129.0,0.67,26886.0,4045.0,  ,108754000.0
2005,261999,ALMONDS ALL,7,Butte,40084.0,0.85,34071.0,5500.01,TONS ,187391000.0
2006,261999,ALMONDS ALL,7,Butte,38137.0,0.66,25170.0,4150.02,TONS ,104456000.0
2007,261999,ALMONDS ALL,7,Butte,39156.0,0.95,37198.0,3580.03,TONS ,133170000.0
2008,261999,ALMONDS ALL,7,Butte,37100.0,0.89,33019.0,2614.01,TONS ,86312000.0
2009,261999,ALMONDS ALL,7,Butte,38548.0,0.76,29296.0,3100.0,Tons ,90817600.0
2010,261999,ALMONDS ALL,7,Butte,39300.0,0.84,33000.0,3447.91,Tons ,113781000.0
2011,261999,ALMONDS ALL,7,Butte,38100.0,0.9,34200.0,3774.27,Tons ,129080000.0
2012,261999,ALMONDS ALL,7,Butte,39800.0,0.88,35000.0,4598.03,Tons ,160931000.0
2013,261999,ALMONDS ALL,7,Butte,37500.0,0.93,34900.0,5617.74,tons,196059000.0
2014,261999,ALMONDS ALL,7,Butte,39200.0,0.91,35700.0,6751.71,Tons,241036000.0
2015,261999,ALMONDS ALL,7,Butte,39600.0,0.85,33700.0,5996.8,Tons,202092000.0
2016,261999,ALMONDS ALL,7,Butte,39500.0,0.85,33600.0,5592.32,Tons,187902000.0
2017,261999,ALMONDS ALL,7,Butte,39600.0,0.75,29700.0,4653.03,Tons ,138195000.0
2018,261999,ALMONDS ALL,7,Butte,40400.0,0.8,32300.0,4812.32,Tons ,155438000.0
2019,261999,ALMONDS ALL,7,Butte,39200.0,0.8,31400.0,4480.86,Tons ,140699000.0
2020,261999,ALMONDS ALL,7,Butte,37600.0,1.12,42100.0,3501.5,Tons ,147413000.0
