DataType,State,County,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,CA,Alameda,1970,7.36,1.61,1.65,0.29,0.03,0.32,0.0,0.0,0.0,0.67,6.67,6.08
1,CA,Alameda,1971,1.34,0.46,2.47,1.15,0.48,0.0,0.0,0.03,0.22,0.08,1.11,4.04
1,CA,Alameda,1972,1.09,1.34,0.15,1.02,0.03,0.16,0.0,0.0,0.69,3.31,5.87,2.27
1,CA,Alameda,1973,7.24,5.95,2.69,0.2,0.02,0.0,0.0,0.0,0.26,2.02,5.97,4.4
1,CA,Alameda,1974,2.8,1.13,4.58,2.43,0.01,0.12,0.06,0.0,0.0,1.15,0.71,2.26
1,CA,Alameda,1975,1.36,4.41,5.52,1.82,0.01,0.05,0.06,0.2,0.01,2.43,0.39,0.33
1,CA,Alameda,1976,0.28,1.52,1.22,0.91,0.01,0.09,0.01,0.29,0.87,0.56,0.93,1.29
1,CA,Alameda,1977,1.33,0.89,1.77,0.16,1.2,0.01,0.03,0.01,0.68,0.26,2.08,3.97
1,CA,Alameda,1978,7.4,3.81,5.16,3.34,0.02,0.0,0.0,0.0,0.32,0.0,2.16,0.63
1,CA,Alameda,1979,5.7,4.36,2.74,0.93,0.29,0.0,0.06,0.01,0.0,2.12,1.97,4.04
1,CA,Alameda,1980,4.52,5.92,1.83,1.47,0.33,0.02,0.06,0.0,0.0,0.08,0.23,1.7
1,CA,Alameda,1981,4.75,1.4,3.96,0.5,0.16,0.0,0.0,0.0,0.11,2.25,4.96,3.5
1,CA,Alameda,1982,6.62,3.0,6.75,3.09,0.0,0.27,0.02,0.03,1.15,2.47,5.17,3.1
1,CA,Alameda,1983,7.01,6.29,9.02,3.91,0.42,0.01,0.01,0.16,0.83,0.54,6.59,5.35
1,CA,Alameda,1984,0.35,2.09,1.34,0.71,0.05,0.15,0.0,0.06,0.11,2.16,5.91,1.83
1,CA,Alameda,1985,0.73,1.53,3.43,0.25,0.13,0.23,0.03,0.02,0.36,0.97,3.37,2.33
1,CA,Alameda,1986,3.16,8.3,5.35,0.7,0.25,0.0,0.04,0.0,0.89,0.09,0.15,1.25
1,CA,Alameda,1987,2.86,3.95,2.62,0.26,0.05,0.01,0.0,0.0,0.0,1.1,1.77,3.55
1,CA,Alameda,1988,2.92,0.46,0.2,1.8,0.64,0.32,0.0,0.0,0.0,0.26,2.62,3.2
1,CA,Alameda,1989,1.14,1.28,4.21,0.74,0.1,0.07,0.0,0.03,1.12,1.76,1.31,0.04
1,CA,Alameda,1990,2.68,2.38,1.13,0.43,2.52,0.0,0.02,0.01,0.17,0.21,0.46,1.81
1,CA,Alameda,1991,0.37,2.74,7.21,0.5,0.34,0.13,0.01,0.2,0.05,1.9,0.48,2.09
1,CA,Alameda,1992,1.63,6.27,3.37,0.51,0.0,0.24,0.01,0.02,0.01,1.32,0.24,6.1
1,CA,Alameda,1993,8.19,5.08,3.19,0.81,0.87,0.39,0.0,0.0,0.0,0.58,2.36,2.32
1,CA,Alameda,1994,1.74,3.95,0.26,1.47,1.74,0.03,0.0,0.0,0.07,0.53,4.88,2.04
1,CA,Alameda,1995,9.11,0.31,8.31,1.52,1.21,0.66,0.01,0.0,0.0,0.01,0.06,6.48
1,CA,Alameda,1996,5.83,5.36,2.7,1.8,1.84,0.01,0.0,0.0,0.02,1.26,2.94,6.87
1,CA,Alameda,1997,7.48,0.26,0.27,0.35,0.38,0.29,0.0,0.25,0.02,0.66,5.87,2.54
1,CA,Alameda,1998,7.79,11.44,2.74,1.85,2.87,0.1,0.0,0.0,0.16,0.74,3.09,1.09
1,CA,Alameda,1999,3.88,4.7,2.55,1.67,0.1,0.07,0.0,0.05,0.13,0.34,1.77,0.42
1,CA,Alameda,2000,5.94,7.24,1.92,1.09,1.0,0.25,0.0,0.02,0.22,2.64,0.73,0.64
1,CA,Alameda,2001,2.93,4.7,1.64,1.74,0.0,0.14,0.0,0.01,0.15,0.4,3.42,7.14
1,CA,Alameda,2002,1.31,1.28,2.51,0.28,0.85,0.0,0.0,0.01,0.0,0.01,2.78,9.31
1,CA,Alameda,2003,0.99,1.65,1.49,3.63,0.93,0.0,0.0,0.1,0.01,0.04,2.04,5.55
1,CA,Alameda,2004,2.48,4.77,0.64,0.19,0.1,0.0,0.0,0.01,0.29,3.25,1.46,5.16
1,CA,Alameda,2005,3.72,4.01,4.06,1.85,1.4,0.35,0.01,0.0,0.12,0.22,1.05,7.73
1,CA,Alameda,2006,3.14,1.8,6.79,4.0,0.62,0.0,0.0,0.0,0.0,0.36,1.83,2.81
1,CA,Alameda,2007,0.67,4.29,0.36,1.04,0.21,0.0,0.02,0.0,0.22,1.55,0.73,2.48
1,CA,Alameda,2008,6.93,2.35,0.2,0.1,0.01,0.0,0.0,0.0,0.0,0.37,2.0,2.22
1,CA,Alameda,2009,1.31,5.51,2.53,0.47,0.67,0.08,0.0,0.01,0.27,3.49,0.4,2.58
1,CA,Alameda,2010,5.38,2.73,2.2,3.12,0.72,0.01,0.0,0.0,0.01,1.07,2.52,5.41
1,CA,Alameda,2011,1.04,3.47,5.65,0.26,0.81,0.71,0.01,0.0,0.0,1.32,1.15,0.11
1,CA,Alameda,2012,2.08,0.84,4.4,2.73,0.03,0.14,0.01,0.0,0.0,0.79,3.95,5.81
1,CA,Alameda,2013,0.81,0.47,0.63,0.69,0.07,0.12,0.0,0.0,0.54,0.01,1.31,0.43
1,CA,Alameda,2014,0.11,3.83,2.02,1.36,0.02,0.01,0.01,0.01,0.39,0.47,1.75,9.9
1,CA,Alameda,2015,0.01,2.25,0.26,1.15,0.37,0.27,0.01,0.02,0.04,0.08,2.41,3.52
1,CA,Alameda,2016,5.65,0.84,5.25,1.94,0.24,0.0,0.0,0.0,0.0,3.65,1.48,3.5
1,CA,Alameda,2017,9.38,7.41,2.65,2.5,0.03,0.04,0.0,0.01,0.06,0.21,2.58,0.1
1,CA,Alameda,2018,4.28,0.57,4.39,2.44,0.02,0.0,0.0,0.0,0.0,0.14,2.71,2.02
1,CA,Alameda,2019,3.73,6.83,4.11,0.47,2.25,0.0,0.0,0.0,0.19,0.0,1.09,3.62
1,CA,Alameda,2020,1.55,0.0,2.61,1.54,0.62,0.0,0.0,0.07,0.0,0.0,0.37,1.66
1,CA,Alameda,2021,3.15,0.97,1.36,0.1,0.01,0.0,0.0,0.0,0.02,5.04,0.85,6.46
1,CA,Alameda,2022,0.17,0.05,0.68,1.35,0.01,0.07,0.0,0.0,0.59,0.0,2.03,9.51
1,CA,Alameda,2023,9.31,3.26,6.33,0.13,0.74,0.02,0.0,0.01,0.05,0.13,0.91,3.5
1,CA,Alameda,2024,5.26,4.74,3.49,1.53,0.82,0.0,0.0,0.01,0.01,0.04,-9.99,-9.99
1,CA,Alpine,1970,14.3,3.13,2.38,2.47,0.04,2.43,0.16,0.04,0.14,0.86,10.33,9.85
1,CA,Alpine,1971,3.28,1.15,6.41,1.57,4.12,0.87,0.64,0.68,0.62,0.9,5.32,9.46
1,CA,Alpine,1972,1.93,1.97,0.86,3.08,1.11,1.33,0.04,0.51,1.86,3.27,4.54,5.1
1,CA,Alpine,1973,9.25,7.25,3.85,0.98,1.51,0.29,0.43,1.25,0.16,3.01,8.95,8.62
1,CA,Alpine,1974,4.84,1.58,8.88,3.69,0.44,0.16,1.73,0.94,0.0,2.35,2.44,4.14
1,CA,Alpine,1975,3.18,8.49,10.47,4.44,0.93,0.54,0.19,1.51,1.1,5.58,2.09,0.6
1,CA,Alpine,1976,1.11,3.57,2.54,1.24,0.72,0.21,1.35,2.03,1.88,0.97,0.93,0.2
1,CA,Alpine,1977,2.28,2.15,2.4,0.43,3.53,1.7,0.34,0.03,0.51,0.26,4.88,10.84
1,CA,Alpine,1978,8.02,6.67,5.39,4.38,0.92,0.44,0.17,0.29,2.65,0.42,3.32,3.61
1,CA,Alpine,1979,7.69,7.33,4.99,2.25,1.81,0.13,0.99,0.25,0.08,3.36,3.5,7.01
1,CA,Alpine,1980,13.08,10.35,4.26,3.61,1.86,0.89,1.02,0.67,0.93,1.04,1.17,3.06
1,CA,Alpine,1981,6.95,2.69,5.66,2.21,1.63,0.08,0.08,0.04,0.73,4.27,10.12,8.99
1,CA,Alpine,1982,9.39,6.28,9.4,6.04,0.66,1.77,0.51,0.62,4.2,6.83,8.37,7.83
1,CA,Alpine,1983,8.08,9.56,9.91,5.48,0.93,0.7,0.11,2.05,2.68,1.34,14.41,10.9
1,CA,Alpine,1984,0.74,4.63,2.81,2.4,0.79,1.73,1.1,0.17,0.41,3.42,9.53,1.82
1,CA,Alpine,1985,0.98,3.67,6.75,0.65,0.14,0.47,0.73,0.26,2.91,2.6,6.35,3.94
1,CA,Alpine,1986,4.1,18.8,6.56,1.11,0.89,0.23,0.89,0.11,2.0,0.38,0.3,1.14
1,CA,Alpine,1987,4.03,4.95,3.76,0.89,2.31,0.95,0.2,0.1,0.1,1.45,2.56,5.91
1,CA,Alpine,1988,4.85,0.42,0.87,2.2,1.44,0.72,0.21,0.64,0.23,0.02,7.03,5.05
1,CA,Alpine,1989,1.87,3.31,9.87,1.61,1.51,1.49,0.05,0.96,2.97,3.34,3.03,0.17
1,CA,Alpine,1990,4.52,4.22,2.0,2.46,2.4,0.33,1.42,0.98,0.77,0.66,1.34,1.65
1,CA,Alpine,1991,0.41,1.57,13.93,1.25,1.79,0.73,0.79,0.78,0.89,4.41,2.86,2.49
1,CA,Alpine,1992,1.39,5.34,2.64,0.68,0.57,1.75,1.03,0.88,0.39,3.07,0.45,11.88
1,CA,Alpine,1993,10.98,7.38,4.79,2.03,1.33,1.65,0.0,0.02,0.01,1.92,1.58,2.73
1,CA,Alpine,1994,1.91,7.01,1.66,2.15,2.42,0.03,0.09,0.0,0.94,1.86,8.78,3.3
1,CA,Alpine,1995,13.89,1.3,16.88,5.75,5.26,1.81,0.14,0.05,0.07,0.01,0.41,8.14
1,CA,Alpine,1996,9.75,10.15,6.22,3.4,4.24,1.2,0.64,0.56,0.16,1.91,6.64,16.15
1,CA,Alpine,1997,17.63,0.86,0.66,1.38,0.79,2.59,0.57,0.08,0.6,1.21,3.23,3.31
1,CA,Alpine,1998,8.46,12.97,6.81,2.14,3.86,1.84,0.57,0.23,3.19,1.0,5.45,2.76
1,CA,Alpine,1999,8.15,9.92,2.47,4.81,0.88,0.84,0.12,1.05,0.45,1.3,2.61,0.55
1,CA,Alpine,2000,10.06,9.57,1.67,1.78,2.35,0.76,0.04,0.78,0.95,2.74,1.61,1.05
1,CA,Alpine,2001,3.86,5.3,2.66,4.42,0.37,0.01,0.43,0.14,0.55,1.16,5.99,9.19
1,CA,Alpine,2002,2.43,1.89,4.81,1.94,0.95,0.07,0.33,0.06,0.3,0.21,5.74,10.54
1,CA,Alpine,2003,1.46,2.17,2.73,6.67,1.61,0.12,0.95,0.96,0.35,0.37,2.94,10.1
1,CA,Alpine,2004,3.06,7.48,1.36,0.57,0.9,0.14,0.06,0.31,0.2,5.64,3.5,6.64
1,CA,Alpine,2005,8.19,4.32,6.5,2.5,4.33,0.86,0.3,0.42,0.61,1.01,2.74,16.2
1,CA,Alpine,2006,7.36,4.78,7.97,6.79,0.89,0.06,0.38,0.22,0.17,0.96,2.89,3.7
1,CA,Alpine,2007,1.53,7.5,1.47,1.94,0.71,0.19,0.08,0.42,0.79,1.31,0.74,4.14
1,CA,Alpine,2008,10.05,5.71,1.14,0.39,1.82,0.0,0.24,0.08,0.0,1.82,4.07,5.25
1,CA,Alpine,2009,3.77,5.7,6.2,1.44,3.04,1.03,0.3,0.53,0.15,4.73,1.9,5.1
1,CA,Alpine,2010,7.14,4.71,3.71,4.83,2.28,0.19,0.22,0.26,0.03,7.55,6.54,12.03
1,CA,Alpine,2011,1.69,6.5,11.59,2.35,2.61,3.42,0.75,0.11,1.17,1.97,1.38,0.04
1,CA,Alpine,2012,4.98,1.82,4.82,2.34,0.38,0.6,0.27,0.64,0.33,1.27,5.46,12.74
1,CA,Alpine,2013,1.22,0.37,2.56,1.63,2.19,0.38,0.33,0.46,0.89,1.01,0.91,1.6
1,CA,Alpine,2014,2.98,8.22,3.45,1.54,1.47,0.1,1.42,1.15,1.52,0.76,2.33,4.44
1,CA,Alpine,2015,0.22,5.53,0.62,2.52,2.99,1.0,1.81,0.23,0.39,2.4,4.68,7.97
1,CA,Alpine,2016,8.29,1.82,6.74,3.1,1.67,0.05,0.01,0.12,0.32,8.87,1.93,6.71
1,CA,Alpine,2017,22.13,15.58,4.79,6.95,1.44,0.7,0.04,1.34,2.39,0.57,7.7,0.61
1,CA,Alpine,2018,3.65,1.56,12.57,3.18,1.68,0.02,0.7,0.11,0.1,0.76,5.16,2.71
1,CA,Alpine,2019,8.17,15.25,6.43,1.74,3.12,0.55,0.55,0.03,0.87,0.08,2.61,7.81
1,CA,Alpine,2020,1.86,0.25,5.28,3.12,1.43,0.66,0.57,0.6,0.22,0.04,3.42,2.98
1,CA,Alpine,2021,6.12,2.2,2.98,0.9,0.99,0.65,1.01,0.25,0.21,8.35,1.27,12.72
1,CA,Alpine,2022,0.13,0.64,1.46,3.24,0.65,0.58,0.08,1.33,1.49,0.2,4.03,16.62
1,CA,Alpine,2023,14.68,7.71,12.4,0.7,1.25,1.57,0.04,1.81,1.16,0.61,2.49,2.44
1,CA,Alpine,2024,4.7,8.85,7.98,1.34,1.06,0.09,0.75,0.38,0.57,0.92,-9.99,-9.99
1,CA,Amador,1970,13.49,2.96,3.75,2.2,0.02,1.42,0.0,0.0,0.06,1.37,10.22,10.13
1,CA,Amador,1971,2.74,1.05,5.44,1.37,1.72,0.68,0.02,0.02,0.64,0.54,4.73,9.43
1,CA,Amador,1972,2.02,3.11,0.97,3.29,0.34,0.28,0.0,0.12,1.81,1.3,6.53,4.95
1,CA,Amador,1973,11.72,8.56,5.45,1.26,0.49,0.06,0.08,0.15,0.42,3.64,9.6,8.79
1,CA,Amador,1974,5.55,2.39,8.31,4.14,0.08,0.46,0.27,0.16,0.0,2.43,2.54,3.52
1,CA,Amador,1975,3.08,9.42,9.42,4.0,0.46,0.24,0.1,0.46,0.15,5.12,1.98,1.06
