DataType,State,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,CA,1970,8.16,2.16,2.44,0.68,0.22,0.59,0.13,0.19,0.04,0.97,6.56,5.67
1,CA,1971,2.39,0.72,3.26,1.18,1.53,0.41,0.15,0.32,0.56,0.51,2.2,5.01
1,CA,1972,1.84,1.98,1.16,1.41,0.46,0.4,0.03,0.19,0.75,1.79,4.23,2.97
1,CA,1973,6.05,5.35,3.34,0.41,0.41,0.06,0.06,0.17,0.53,1.91,6.58,4.06
1,CA,1974,5.67,1.66,5.4,1.77,0.17,0.13,0.4,0.19,0.01,1.55,1.03,3.37
1,CA,1975,1.58,5.41,5.76,2.08,0.24,0.2,0.17,0.33,0.34,2.61,1.19,1.03
1,CA,1976,0.45,3.89,1.4,1.49,0.25,0.15,0.34,0.55,1.31,0.51,0.86,0.55
1,CA,1977,1.98,1.16,1.64,0.23,1.88,0.35,0.08,0.75,0.87,0.5,2.18,5.91
1,CA,1978,7.97,5.77,5.75,3.48,0.38,0.17,0.12,0.22,1.31,0.2,1.96,1.53
1,CA,1979,5.05,4.86,3.44,1.12,0.84,0.05,0.38,0.45,0.24,2.51,2.55,3.14
1,CA,1980,6.63,7.51,2.81,1.68,0.88,0.33,0.2,0.04,0.22,0.57,0.63,2.62
1,CA,1981,4.39,2.08,4.04,0.97,0.9,0.09,0.04,0.1,0.58,2.44,5.99,4.62
1,CA,1982,4.24,2.95,5.78,3.64,0.22,0.68,0.23,0.36,1.26,2.66,5.05,4.92
1,CA,1983,5.93,6.8,9.02,3.12,0.53,0.23,0.1,1.14,0.91,1.18,6.55,6.95
1,CA,1984,0.33,2.2,1.67,1.21,0.39,0.43,0.59,0.61,0.27,1.61,6.14,2.87
1,CA,1985,0.81,1.85,2.88,0.24,0.2,0.21,0.28,0.07,1.08,1.15,3.84,2.09
1,CA,1986,3.8,9.33,4.7,1.0,0.7,0.08,0.22,0.12,1.4,0.64,0.77,1.49
1,CA,1987,3.07,2.79,3.59,0.4,0.63,0.2,0.25,0.04,0.1,1.33,2.26,5.04
1,CA,1988,3.84,0.8,0.59,2.42,0.91,0.57,0.09,0.41,0.11,0.1,4.2,3.06
1,CA,1989,1.59,1.57,5.1,0.83,0.77,0.31,0.04,0.29,1.33,1.95,1.05,0.12
1,CA,1990,3.72,2.36,1.3,0.83,2.46,0.18,0.28,0.36,0.41,0.47,0.71,0.91
1,CA,1991,1.0,2.24,9.11,0.75,0.82,0.32,0.26,0.2,0.24,1.28,1.07,2.5
1,CA,1992,1.94,5.98,3.65,1.03,0.23,0.71,0.24,0.2,0.05,2.13,0.59,6.48
1,CA,1993,8.86,5.98,3.05,1.45,1.44,0.87,0.03,0.22,0.04,0.82,1.42,2.52
1,CA,1994,1.91,3.96,1.24,1.36,1.35,0.1,0.05,0.06,0.34,0.63,3.73,2.81
