DataType,State,County,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2,CA,Alameda,1970,50.3,52.2,54.0,52.7,62.8,65.1,70.1,68.0,68.6,59.4,54.6,46.4
2,CA,Alameda,1971,46.8,48.2,50.8,52.6,57.3,64.1,69.1,71.4,69.5,58.6,51.9,44.0
2,CA,Alameda,1972,43.6,50.4,55.8,55.3,61.2,66.2,70.6,70.2,65.6,60.9,51.0,42.8
2,CA,Alameda,1973,45.6,50.9,49.4,56.7,62.4,68.6,69.3,67.8,66.7,60.9,51.8,48.2
2,CA,Alameda,1974,46.9,47.8,52.3,54.1,59.1,65.7,69.5,69.8,68.2,63.0,52.4,46.4
2,CA,Alameda,1975,46.2,49.2,50.4,50.1,61.2,64.5,67.8,68.4,67.2,59.3,50.9,47.6
2,CA,Alameda,1976,47.1,49.2,50.8,53.2,61.8,66.8,69.0,68.4,67.4,63.7,55.5,47.6
2,CA,Alameda,1977,45.7,51.9,50.3,57.4,56.2,66.2,69.4,70.2,66.6,62.8,54.5,51.0
2,CA,Alameda,1978,50.6,50.9,56.3,54.2,63.4,65.5,69.9,70.8,68.7,64.2,51.0,43.6
2,CA,Alameda,1979,45.9,48.1,52.8,55.1,63.0,67.0,70.9,69.4,71.7,63.3,52.7,49.2
2,CA,Alameda,1980,49.1,52.6,51.9,55.8,58.2,63.1,70.0,68.4,66.8,63.4,54.4,48.7
2,CA,Alameda,1981,49.0,52.0,52.1,57.2,61.6,71.8,70.0,69.8,67.7,59.3,55.6,50.6
2,CA,Alameda,1982,43.6,51.1,50.1,54.6,60.8,62.4,68.1,69.3,67.7,61.9,50.1,47.5
2,CA,Alameda,1983,46.4,51.5,52.7,53.4,60.4,65.8,69.1,71.6,71.5,64.4,52.7,50.5
2,CA,Alameda,1984,48.1,49.6,55.7,54.6,64.0,65.7,73.0,70.8,73.1,59.9,51.7,45.5
2,CA,Alameda,1985,44.5,50.8,49.7,59.4,59.7,69.5,72.2,69.0,65.5,61.5,50.0,45.2
2,CA,Alameda,1986,51.8,53.4,56.5,56.2,61.2,66.9,69.4,69.4,64.0,62.8,55.4,47.2
2,CA,Alameda,1987,46.0,50.9,52.8,60.0,63.8,66.6,66.8,69.8,68.4,64.9,53.6,47.4
2,CA,Alameda,1988,48.1,52.5,55.5,57.3,60.1,66.1,72.8,70.4,67.7,62.8,53.1,47.2
2,CA,Alameda,1989,45.6,46.1,53.6,59.6,60.9,66.0,69.6,69.1,66.1,61.3,54.3,46.8
2,CA,Alameda,1990,47.7,46.6,53.0,59.2,60.6,66.4,71.1,71.3,68.8,64.0,53.4,42.7
2,CA,Alameda,1991,47.6,53.6,48.8,54.5,58.2,63.1,70.1,68.3,69.5,65.5,55.3,47.4
2,CA,Alameda,1992,45.3,53.0,54.7,60.0,65.8,66.4,71.0,71.6,68.9,65.2,54.4,46.0
2,CA,Alameda,1993,46.1,48.8,55.7,56.5,61.9,68.2,69.5,70.7,67.8,63.3,52.9,46.4
2,CA,Alameda,1994,48.4,47.5,54.7,56.3,59.8,66.0,68.0,70.2,68.0,61.3,47.8,44.7
2,CA,Alameda,1995,51.0,52.5,51.9,55.0,58.6,64.9,71.2,71.1,68.3,64.4,58.6,51.3
2,CA,Alameda,1996,49.4,52.9,54.7,58.8,62.3,67.4,73.0,72.2,67.0,61.4,54.3,51.0
2,CA,Alameda,1997,48.4,51.7,55.9,58.1,66.4,66.7,70.6,70.8,70.8,61.8,55.6,47.4
2,CA,Alameda,1998,49.6,49.2,53.0,54.8,56.2,63.5,70.1,72.9,68.7,60.0,52.6,45.0
2,CA,Alameda,1999,47.3,48.2,49.3,54.7,57.8,64.7,68.0,68.7,68.9,64.8,55.4,49.1
2,CA,Alameda,2000,49.9,51.0,53.5,58.0,62.1,68.3,67.5,69.9,68.8,60.3,49.7,49.2
2,CA,Alameda,2001,46.4,48.3,55.6,53.2,67.5,68.9,69.2,69.9,67.5,64.4,55.4,48.4
2,CA,Alameda,2002,46.1,51.1,51.9,56.0,60.0,66.2,70.4,69.8,69.6,61.7,55.4,49.4
2,CA,Alameda,2003,52.0,49.8,54.5,52.4,61.1,67.0,72.7,70.7,70.5,65.3,51.2,48.8
2,CA,Alameda,2004,47.2,49.4,58.9,59.2,61.8,65.9,70.2,71.0,69.8,60.5,51.9,48.9
2,CA,Alameda,2005,46.5,52.0,55.2,55.1,61.6,64.5,72.7,71.3,65.5,61.8,55.7,50.6
2,CA,Alameda,2006,49.1,51.1,48.4,54.6,62.8,68.9,74.4,69.0,67.3,60.7,53.6,48.1
2,CA,Alameda,2007,46.0,50.1,56.1,56.9,61.6,66.3,70.1,70.9,66.6,60.1,55.4,46.5
2,CA,Alameda,2008,46.0,49.6,52.8,55.3,61.7,67.4,70.5,71.3,69.4,63.5,56.3,45.8
2,CA,Alameda,2009,49.5,49.3,52.4,56.0,63.2,65.9,69.8,70.8,71.1,60.8,53.1,46.4
2,CA,Alameda,2010,48.4,51.1,52.5,53.2,57.7,66.3,68.7,67.6,69.1,62.3,52.7,49.8
2,CA,Alameda,2011,48.2,48.0,51.7,54.7,57.6,64.2,69.1,69.0,70.1,63.2,51.7,47.6
2,CA,Alameda,2012,49.4,50.9,51.2,56.8,62.0,66.0,69.2,71.0,68.1,63.2,55.6,47.7
2,CA,Alameda,2013,45.8,48.8,55.2,60.0,63.0,68.3,71.1,69.8,68.1,61.3,55.2,47.0
2,CA,Alameda,2014,53.2,52.5,56.9,58.8,64.7,68.1,72.7,70.9,70.0,66.2,56.7,52.7
2,CA,Alameda,2015,51.2,55.7,59.1,58.0,59.2,69.4,71.6,71.7,71.2,67.3,51.2,47.0
2,CA,Alameda,2016,50.0,55.2,55.1,59.1,62.8,69.4,70.5,69.6,68.4,61.7,55.3,47.3
2,CA,Alameda,2017,46.5,51.0,55.5,56.8,62.9,68.5,73.0,72.1,70.9,63.9,55.2,49.7
2,CA,Alameda,2018,51.1,51.5,51.9,56.8,60.3,67.4,72.6,69.8,67.4,63.7,56.0,49.2
2,CA,Alameda,2019,50.8,46.2,51.9,59.3,58.8,69.0,70.5,72.8,68.7,62.3,56.0,49.9
2,CA,Alameda,2020,48.9,53.9,51.5,57.6,64.6,69.2,71.3,75.2,73.1,69.8,54.8,51.0
2,CA,Alameda,2021,50.2,51.8,51.9,58.1,63.1,68.8,72.6,72.4,70.4,61.1,56.7,47.1
2,CA,Alameda,2022,50.4,51.8,55.5,57.2,62.2,69.4,70.0,73.0,72.6,64.3,50.9,47.1
2,CA,Alameda,2023,48.8,47.0,48.5,56.4,59.9,64.0,72.5,73.3,66.5,64.4,56.0,52.3
2,CA,Alameda,2024,51.2,51.0,53.1,57.1,62.4,69.6,76.0,71.3,70.4,68.2,-99.9,-99.9
2,CA,Alpine,1970,31.5,33.7,33.3,32.7,46.8,53.0,63.0,62.6,52.7,43.8,38.4,26.3
2,CA,Alpine,1971,30.7,30.9,32.3,36.2,41.1,51.2,61.1,62.2,52.4,42.0,35.6,24.6
2,CA,Alpine,1972,26.9,32.5,39.7,37.0,47.1,55.0,63.1,60.7,52.1,42.6,33.7,26.9
2,CA,Alpine,1973,26.5,29.5,29.5,38.7,48.9,55.9,60.7,59.7,52.8,44.8,34.1,32.6
2,CA,Alpine,1974,29.1,30.0,34.5,35.7,46.0,56.0,59.4,59.6,57.8,45.3,36.6,29.5
2,CA,Alpine,1975,31.4,28.0,30.2,29.5,44.6,52.3,60.3,57.0,57.3,42.4,34.9,34.2
2,CA,Alpine,1976,32.4,29.5,31.5,35.7,48.7,52.6,60.3,52.8,53.3,45.6,40.8,32.2
2,CA,Alpine,1977,28.9,34.8,28.8,42.8,37.4,58.1,61.3,62.3,53.7,48.2,39.7,35.5
2,CA,Alpine,1978,31.9,31.0,38.4,35.2,43.9,51.9,60.0,59.5,51.0,49.9,33.0,26.0
2,CA,Alpine,1979,23.9,28.2,34.5,37.2,46.7,53.7,60.3,58.1,57.9,46.4,34.6,34.0
2,CA,Alpine,1980,31.8,33.6,30.7,39.0,41.9,49.1,60.8,58.8,54.1,47.0,39.7,36.4
2,CA,Alpine,1981,34.2,32.8,33.2,41.9,45.6,58.0,61.9,63.1,57.4,41.1,37.0,34.9
2,CA,Alpine,1982,25.6,32.0,30.5,34.9,46.0,50.6,59.3,60.6,51.2,42.4,32.9,29.6
2,CA,Alpine,1983,32.0,31.2,32.2,32.4,43.2,51.4,55.4,58.0,54.7,46.3,33.7,32.1
2,CA,Alpine,1984,31.4,30.7,36.9,36.0,49.1,51.5,63.1,61.0,56.8,39.6,32.7,26.7
2,CA,Alpine,1985,28.7,29.8,29.9,43.5,46.1,59.2,63.1,59.8,48.2,43.7,30.8,31.7
2,CA,Alpine,1986,36.6,32.7,38.4,38.8,46.1,56.7,58.2,63.6,47.0,43.9,38.9,32.7
2,CA,Alpine,1987,26.6,29.8,32.8,45.0,48.1,57.3,57.7,62.3,57.4,49.9,35.6,25.4
2,CA,Alpine,1988,28.9,34.4,36.1,40.2,45.0,54.5,64.6,62.0,56.0,52.7,34.8,27.6
2,CA,Alpine,1989,26.9,25.9,35.8,43.2,45.1,54.7,62.3,57.8,53.3,43.5,39.3,35.4
2,CA,Alpine,1990,29.7,26.1,36.4,43.1,43.7,54.2,62.2,59.4,55.4,48.5,36.8,25.5
2,CA,Alpine,1991,32.0,37.6,27.5,36.0,40.2,51.2,62.4,60.3,57.4,48.4,37.6,31.6
