DataType,State,County,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
27,CA,Alameda,1970,56.7,61.4,64.5,63.8,75.3,76.3,83.4,81.1,83.6,70.3,62.5,52.2
27,CA,Alameda,1971,54.6,57.3,60.3,62.5,67.1,76.0,81.7,83.7,82.6,71.2,62.0,51.7
27,CA,Alameda,1972,52.0,59.0,66.7,66.3,73.3,79.2,82.8,82.7,77.0,69.6,58.1,49.7
27,CA,Alameda,1973,52.7,58.0,57.7,68.4,74.4,82.1,82.5,80.4,78.3,72.5,58.6,54.6
27,CA,Alameda,1974,54.3,57.2,60.1,65.0,71.1,78.3,81.8,82.5,81.1,74.9,62.0,53.5
27,CA,Alameda,1975,55.6,56.8,58.3,59.1,73.6,76.6,80.0,81.2,79.7,69.8,61.1,57.3
27,CA,Alameda,1976,59.0,58.1,61.4,64.2,74.6,80.1,81.4,79.0,78.5,75.6,65.2,59.2
27,CA,Alameda,1977,53.3,62.3,60.2,70.0,65.8,78.2,83.0,82.2,77.8,73.9,64.2,57.7
27,CA,Alameda,1978,56.7,57.6,64.0,63.0,76.0,77.2,82.5,83.6,81.6,76.5,60.3,51.9
27,CA,Alameda,1979,52.9,56.0,60.8,64.8,75.0,80.4,83.7,81.4,84.8,72.6,61.2,58.0
27,CA,Alameda,1980,55.8,60.1,61.8,66.2,68.4,74.4,82.3,80.7,78.8,76.4,65.2,57.3
27,CA,Alameda,1981,56.1,60.8,60.6,68.6,73.2,85.7,83.6,82.4,79.5,70.1,63.2,57.2
27,CA,Alameda,1982,51.6,59.8,57.7,64.2,72.7,72.1,80.2,81.3,79.0,73.0,57.8,54.8
27,CA,Alameda,1983,53.4,58.4,59.7,62.0,71.4,77.8,81.2,83.3,83.8,75.8,60.4,55.8
27,CA,Alameda,1984,56.4,58.8,66.1,65.3,77.1,78.6,86.4,83.8,87.4,69.9,59.0,52.5
27,CA,Alameda,1985,52.1,61.6,58.7,70.9,70.9,82.5,85.0,81.4,76.1,72.9,58.1,53.4
27,CA,Alameda,1986,58.9,61.0,65.9,66.7,73.3,78.5,82.4,82.3,75.1,74.6,67.4,55.8
27,CA,Alameda,1987,54.7,60.3,62.3,72.8,75.0,78.8,78.0,82.4,80.6,75.5,61.9,53.8
27,CA,Alameda,1988,55.8,63.9,67.0,67.8,71.6,78.2,86.4,82.5,80.8,73.4,61.2,56.0
27,CA,Alameda,1989,54.6,54.6,61.5,70.8,72.4,77.6,83.5,81.8,77.3,72.5,65.2,56.9
27,CA,Alameda,1990,56.5,55.5,62.7,70.0,71.5,79.1,83.2,82.7,81.0,76.9,64.1,52.5
27,CA,Alameda,1991,57.4,63.6,56.4,64.8,69.1,74.8,82.5,79.3,82.3,77.9,65.3,56.1
27,CA,Alameda,1992,53.4,60.8,62.6,71.2,78.0,77.3,82.7,85.0,81.7,76.2,64.2,53.3
27,CA,Alameda,1993,53.6,56.0,64.2,66.4,72.3,80.6,82.0,82.8,80.5,73.9,63.2,54.5
27,CA,Alameda,1994,57.5,55.8,65.1,66.5,69.8,79.3,80.1,83.7,79.8,72.8,56.2,52.0
