DataType,State,County,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
28,CA,Alameda,1970,43.8,43.0,43.5,41.6,50.4,53.8,56.7,54.8,53.7,48.6,46.6,40.4
28,CA,Alameda,1971,39.1,39.0,41.3,42.6,47.5,52.1,56.5,59.1,56.4,46.0,41.8,36.4
28,CA,Alameda,1972,35.2,41.8,44.9,44.2,49.2,53.2,58.4,57.6,54.2,52.3,44.0,36.0
28,CA,Alameda,1973,38.6,43.8,41.1,45.0,50.3,55.2,56.0,55.1,55.1,49.4,45.1,41.9
28,CA,Alameda,1974,39.5,38.3,44.5,43.2,47.1,53.2,57.1,57.1,55.2,51.2,42.9,39.3
28,CA,Alameda,1975,36.9,41.7,42.4,41.1,48.8,52.4,55.6,55.7,54.8,48.8,40.8,37.8
28,CA,Alameda,1976,35.3,40.3,40.3,42.3,48.9,53.4,56.6,57.8,56.3,51.7,45.8,35.9
28,CA,Alameda,1977,38.0,41.4,40.4,44.7,46.6,54.2,55.6,58.2,55.4,51.7,44.7,44.3
28,CA,Alameda,1978,44.6,44.3,48.6,45.5,50.8,53.8,57.3,57.9,55.8,51.9,41.7,35.2
28,CA,Alameda,1979,38.9,40.2,44.8,45.3,51.1,53.7,58.1,57.3,58.7,54.0,44.2,40.3
28,CA,Alameda,1980,42.3,45.0,42.0,45.4,48.0,51.8,57.7,56.2,54.8,50.3,43.7,40.0
28,CA,Alameda,1981,42.0,43.1,43.6,45.8,50.0,58.0,56.4,57.1,55.9,48.5,48.1,44.0
28,CA,Alameda,1982,35.7,42.4,42.4,44.9,49.0,52.7,56.1,57.2,56.3,50.9,42.4,40.1
28,CA,Alameda,1983,39.5,44.6,45.6,44.8,49.5,53.9,57.1,59.8,59.1,52.9,45.1,45.2
28,CA,Alameda,1984,39.8,40.2,45.2,44.0,50.8,52.8,59.6,57.9,58.9,49.9,44.4,38.4
28,CA,Alameda,1985,36.9,39.9,40.7,48.0,48.5,56.5,59.4,56.6,54.9,50.1,42.0,37.1
28,CA,Alameda,1986,44.6,45.8,47.1,45.6,49.1,55.3,56.3,56.5,52.9,51.1,43.3,38.5
28,CA,Alameda,1987,37.3,41.6,43.3,47.2,52.6,54.4,55.6,57.2,56.1,54.3,45.3,40.9
28,CA,Alameda,1988,40.3,41.2,44.0,46.8,48.6,54.0,59.0,58.2,54.6,52.2,45.0,38.5
28,CA,Alameda,1989,36.6,37.7,45.7,48.4,49.5,54.3,55.7,56.4,54.8,50.0,43.3,36.8
28,CA,Alameda,1990,38.9,37.8,43.3,48.4,49.8,53.7,59.0,59.9,56.7,51.0,42.6,32.9
28,CA,Alameda,1991,37.9,43.6,41.2,44.2,47.3,51.5,57.7,57.4,56.6,53.1,45.2,38.7
28,CA,Alameda,1992,37.2,45.1,46.8,48.7,53.6,55.6,59.4,58.3,56.1,54.1,44.7,38.6
28,CA,Alameda,1993,38.7,41.7,47.3,46.6,51.4,55.8,57.1,58.6,55.0,52.7,42.5,38.2
28,CA,Alameda,1994,39.2,39.2,44.2,46.1,49.8,52.6,55.9,56.7,56.1,49.8,39.4,37.5
28,CA,Alameda,1995,46.0,45.3,43.9,45.6,49.4,53.9,59.7,58.2,56.3,52.1,47.8,44.3
28,CA,Alameda,1996,42.0,45.6,44.8,47.9,50.7,54.3,59.6,58.6,54.4,50.3,46.0,44.5
28,CA,Alameda,1997,42.0,42.6,44.6,47.0,54.0,54.9,57.8,59.6,58.6,50.7,47.9,39.6
28,CA,Alameda,1998,43.3,43.0,44.4,45.1,48.7,54.2,58.1,59.1,58.0,48.9,44.8,36.0
28,CA,Alameda,1999,39.1,40.0,40.8,44.4,47.0,52.2,56.0,57.4,56.5,52.1,46.4,38.8
28,CA,Alameda,2000,42.8,44.3,43.8,47.1,51.0,55.7,55.8,57.2,56.5,50.6,40.6,40.5
28,CA,Alameda,2001,37.4,40.3,45.5,42.7,53.4,55.2,57.3,57.1,55.2,52.8,47.0,42.3
28,CA,Alameda,2002,37.9,41.2,41.8,46.0,48.2,53.6,57.4,56.8,56.3,50.3,45.7,42.3
28,CA,Alameda,2003,44.6,40.7,44.6,43.5,49.8,54.8,59.1,58.7,58.0,52.6,42.7,42.2
28,CA,Alameda,2004,40.4,41.5,47.6,47.6,50.6,53.9,58.2,59.0,56.8,50.5,43.7,41.1
