DataType,State,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
28,CA,1970,36.2,37.2,37.8,37.1,48.3,55.2,61.3,59.7,51.8,44.8,40.9,33.4
28,CA,1971,32.7,33.7,36.1,39.4,45.6,52.9,60.8,61.5,53.9,42.5,36.5,30.1
28,CA,1972,29.4,35.6,41.3,41.0,47.9,55.5,61.1,59.3,53.1,46.8,37.7,29.9
28,CA,1973,31.1,37.2,35.4,41.0,50.0,56.0,59.6,58.4,53.1,45.5,39.2,36.0
28,CA,1974,33.0,32.7,39.3,39.9,47.3,55.4,59.9,58.7,56.2,47.4,38.2,32.7
28,CA,1975,31.2,34.1,36.4,36.3,46.6,53.5,59.2,57.2,56.4,45.2,36.2,33.6
28,CA,1976,31.8,35.5,35.2,38.7,48.6,52.9,60.3,56.3,55.8,46.9,40.6,30.2
28,CA,1977,31.5,35.8,33.5,42.2,43.8,57.1,59.4,61.0,54.5,47.8,39.4,38.6
28,CA,1978,38.2,37.8,42.8,41.2,47.1,54.3,59.7,59.1,53.4,49.0,36.0,29.0
28,CA,1979,31.8,33.8,38.9,41.3,48.9,53.8,59.3,57.8,56.7,49.1,37.2,34.5
28,CA,1980,37.7,39.6,36.7,42.1,46.0,51.4,60.7,58.2,54.0,47.1,38.4,35.8
28,CA,1981,37.1,36.7,38.6,43.5,49.0,58.3,59.8,60.1,56.3,44.8,41.8,37.8
28,CA,1982,30.9,36.5,37.4,40.5,47.9,53.4,58.9,59.7,54.6,46.1,37.3,33.6
28,CA,1983,35.1,38.5,40.5,39.3,47.9,53.6,57.3,60.6,57.8,49.3,40.4,37.6
28,CA,1984,35.1,34.4,39.7,40.6,50.7,54.2,62.8,60.8,57.9,45.0,38.4,32.7
28,CA,1985,31.9,33.3,35.1,44.3,47.2,57.0,62.5,57.5,51.9,45.8,36.4,33.4
28,CA,1986,39.0,39.6,42.2,42.3,48.3,56.5,58.5,61.0,51.1,46.1,39.3,34.0
28,CA,1987,31.4,35.4,37.6,44.5,50.3,56.1,56.6,59.0,54.8,51.0,39.6,32.7
28,CA,1988,33.3,35.2,37.9,43.0,46.6,54.3,62.6,59.7,54.2,50.1,40.1,32.3
28,CA,1989,30.0,32.2,41.0,46.4,48.2,55.4,59.8,57.5,53.9,46.0,38.6,32.2
28,CA,1990,32.7,31.5,39.2,45.7,47.4,54.8,62.0,59.8,55.7,47.4,37.5,26.8
28,CA,1991,32.6,38.8,35.5,40.4,45.1,52.2,60.8,59.0,57.4,50.5,40.0,33.9
28,CA,1992,33.2,39.9,41.0,45.9,53.0,55.4,60.0,61.2,55.8,49.7,38.1,31.4
28,CA,1993,33.0,35.5,42.4,43.1,49.6,54.0,57.9,58.5,54.0,48.7,36.6,32.8
28,CA,1994,34.4,33.6,40.5,43.6,48.7,55.6,61.4,60.3,55.4,45.2,32.9,33.1
28,CA,1995,38.3,40.5,39.2,41.1,47.0,52.5,59.6,59.8,56.5,47.4,43.2,37.3
28,CA,1996,36.0,39.6,39.4,43.6,49.2,55.5,63.2,61.1,54.0,46.1,40.8,37.4
28,CA,1997,36.1,35.6,40.4,43.0,53.3,55.0,59.2,60.5,57.2,45.9,41.7,33.1
28,CA,1998,36.8,36.2,38.6,40.0,44.4,52.5,61.2,61.7,56.1,44.6,38.7,31.1
28,CA,1999,34.6,34.8,36.3,39.4,46.7,53.3,58.5,58.2,55.8,48.4,41.4,33.6
28,CA,2000,36.6,38.4,38.6,44.6,50.4,57.3,58.5,60.1,54.6,46.5,34.8,35.4
28,CA,2001,32.0,33.6,40.9,39.7,53.3,56.4,59.7,60.6,56.4,49.8,41.4,34.4
28,CA,2002,32.1,35.7,36.0,43.3,47.4,56.0,62.2,58.8,55.8,45.5,40.6,35.1
28,CA,2003,39.8,35.3,39.7,39.4,48.6,56.4,63.5,60.8,57.7,50.6,36.9,35.2
28,CA,2004,34.0,34.9,43.5,43.9,49.2,55.6,61.2,60.0,54.2,46.4,37.4,35.2
28,CA,2005,35.8,38.1,40.0,40.4,49.5,52.6,63.2,60.6,52.0,46.8,40.8,36.6
28,CA,2006,35.0,35.3,34.4,42.1,50.7,58.6,64.4,58.5,54.2,45.3,40.3,33.1
28,CA,2007,29.5,36.3,40.9,43.1,49.5,55.2,62.0,61.1,53.6,46.0,41.0,31.8
28,CA,2008,32.6,34.7,37.5,40.3,48.3,55.5,61.7,61.6,56.3,47.6,42.9,32.4
28,CA,2009,35.5,35.4,37.0,40.7,52.7,54.3,62.2,59.4,57.6,45.5,38.6,32.2
28,CA,2010,36.6,37.5,37.2,39.0,44.0,55.1,61.2,58.2,54.9,49.1,37.6,37.7
28,CA,2011,34.6,32.3,38.6,41.1,44.8,53.3,60.0,59.8,57.3,48.4,37.5,30.6
